file,title,body,date,author,source
関係大臣共同メッセージ(児童生徒の皆さんへ),小中高生の皆さんへ、アンケートへの協力のお礼,7月に、"皆さんが学校で使っているタブレットやパソコンに関する関するアンケートをさせていただき、実に約21万7千人もの児童生徒の皆さんから意見をいただきました。回答してくれた皆さん、本当にありがとうございました。いただいた意見の中には、例えば、「ネット回線が遅い」「タブレットをもっと色んな授業で活用したい」「学校から持ち帰れない」「教科書をデジタル化したほうがいい」といったものが多くありました。国としてもしっかりと受け止め、取組を進めていきます。その他の主な意見への考え方については、以下から見ていただければ嬉しいです。先生や友達とのリアルな触れ合いも大切にしながら、こうしたデジタル機器を使って、皆さん１人ひとりが未来を切り拓く力を身につけられるよう、また、今のような非常時でも学び続けることができるよう、国として全力で取り組みます。デジタル社会の中で、皆さんが豊かなアイデアを持ち、いろいろな場所で活躍することを心から願っています。",2021-09-03,デジタル大臣　平井卓也;総務大臣　武田良太;文部科学大臣　萩生田光一;経済産業大臣　梶山弘志,https://cio.go.jp/sites/default/files/uploads/documents/digital/20210903_giga_message_01.pdf
関係大臣共同メッセージ(教育関係者の方へ),GIGAスクールアンケートへの協力の御礼と今後の施策について(関係大臣共同メッセージ),"本年７月に、GIGAスクールク構想に関するアンケートを児童生徒の教育関係者の皆様に実施させていただき、実に児童生徒から約21.7万件、大人から約4.2万件もの御意見をいただきました。お忙しい中、協力くださった方々には厚く御礼申し上げます。 9月1日のデジタル庁の設置も契機として、教育のデジタル化を政府一丸となって強力に進めていきますが、その目的は、デジタルを手段として、加速度的に変化する社会の創り手となる 子供達の可能性を解き放ち、多様な子供達一人一人のニーズに合った教育を提供することです。また、現下の新型コロナウイルス感染症の感染拡大の局面において、ICT を活用した遠隔・オンライン教育は、「非常時にあっても子供達の学びを止めない」ために極めて重要です。 今回、教職員の皆様からは、学校のネットワーク環境や教職員のICT活用のサポート、教職員端末、活用事例の発信等について多くの御意見をいただきました。特に、ICTに詳しい先生が他の先生方などからの問合せを一手に受け、負担になっているという切実な声については、 文科省において「GIGA スクール運営支援センター整備事業」として、学校現場に対する組織的な支援体制の構築に向けた予算を概算要求しています。また、総務省において条件不利地域のネットワーク環境の整備を促進しています。さらに、活用事例については文科省「StuDX Style」や経産省「未来の教室」ホームページに加え、今回のアンケートで得られた工夫事例をデジタル庁ウェブサイトで公表しておりますので、是非御参考にしていただければ幸いです。 また、保護者の皆様からは、児童生徒の情報モラルや端末の持ち帰り、家庭との連絡のデジタル化等について多くの御意見を頂きました。今後、文科省において、端末の持ち帰りも含め、 1人1台端末の円滑な利活用の促進に向けて学校現場や保護者が留意すべき事項等をまとめたガイドライン等を、可能な限り早期に取りまとめて公表します。また、文科省や総務省において、児童生徒の情報活用能力やインターネット・リテラシーに関する調査結果も踏まえ、情報モラルやリテラシー向上に取り組みます。その他の皆様からも、環境整備から授業内外での活用、学習コンテンツ、意識改革に至るまで、様々な御意見をいただきました。特に、まずは国がデジタル化について範を示すべきという点については全く仰るとおりであり、危機感を持ち、「隗より始めよ」の精神で取り組みます。 これらを含めた今後の施策の方向性や主な御意見への考え方等については、デジタル庁ウェブサイトで掲載しておりますが、全ての課題が一斉に解決できる訳ではなく、学校のネットワーク環境の更なる改善や教職員端末の整備・更新をはじめ、引き続き検討を重ねるべき事項もあります。これらについては、関係省庁が「ワンチーム」となって、教育関係者の皆様の声も聴きながら粘り強く検討を重ね、皆様からの真摯な声にしっかりと応えていきたいと考えております。子供達一人一人のニーズに合った教育の実現や非常時における学びの保障には、教職員や保護者のみならず、各自治体、民間事業者など幅広い関係者による、ハード・ソフト・人材一体となった環境整備が不可欠です。これからも、より一層の御協力を心からお願い申し上げます。",2021-09-03,デジタル大臣　平井卓也;総務大臣　武田良太;文部科学大臣　萩生田光一;経済産業大臣　梶山弘志,https://cio.go.jp/sites/default/files/uploads/documents/digital/20210903_giga_message_02.pdf
