新,謎,旧,氏名
デジタル審議官,【併任解除】【免】,内閣府科学技術・イノベーション推進事務局長）併任 内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術(IT)総合戦略室長代理(副政府CIO）,赤石 浩一
統括官,【免】【併任終了】,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房番号制度推進室次長 命 内閣官房情報通信技術（IT)総合戦略室長代理（副政府CIO） 併任 内閣府大臣官房番号制度担当室次長,冨安 泰一郎
統括官,採用,,楠 正憲
統括官,【免】,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室長代理（副政府CIO）,村上 敬亮
統括官,【免】,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室長代理（副政府CIO）,篠原 俊博
統括官付審議官,【免】,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室長代理（副政府CIO）,山本 和徳
統括官付審議官,【免】,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室長代理（副政府CIO）,犬童 周作
統括官付審議官,【併任解除】【免】,総務省大臣官房審議官（行政管理局担当） 併任 内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術(IT)総合戦略室長代理（副政府CIO）,菅原 希
統括官付審議官,,採用,早瀬 千善
併任 統括官付,【免】【命 内閣官房社会保障改革担当室審議官】,厚生労働省大臣官房付 併任 内閣官房内閣審議官（内閣官房副長官補付）命 内閣官房情報通信技術（IT)総合戦略室長代理（副政府CIO),内山 博之
併任 統括官付,【併任解除】【免】,総務省総合通信基盤局長 併任 内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT)総合戦略室長代理（副政府CIO),二宮 清治
