ファイル名,URL,改変元,作成日,最終更新日
デジタル庁の組織体制.csv,https://www.digital.go.jp/about,https://storage.googleapis.com/studio-design-asset-files/projects/4BqNmnYVOr/s-1440x1160_4689e817-36b7-435d-8128-1e76facdf582.svg,2021-09-01,2021-09-01
デジタル庁人事.csv,https://www.digital.go.jp/posts/kMccIpBR,https://cio.go.jp/sites/default/files/uploads/documents/digital/210901_01_doc_01.pdf,2021-09-01,2021-09-01
デジタル庁幹部名簿.csv,https://www.digital.go.jp/posts/kMccIpBR,https://www.digital.go.jp/about/member,2021-09-01,2021-09-03
令和4年度予算概算要求・機構定員要求の概要.csv,https://www.digital.go.jp/budget,https://cio.go.jp/sites/default/files/uploads/documents/digital/20210831_budget_01.pdf,2021-08-31
